name Simple DTS
init {'Base7':1}
;
r0 {'prop':{'r0'}, 'position': (1.07, 2.37, 0.40)}
r1 {'prop':{'r1'}, 'position': (1.07, 1.94, 0.40)}
r2 {'prop':{'r2'}, 'position': (1.07, 1.51, 0.40)}
Base8 {'prop':{'Base8'}, 'position': (1.07, 1.08, 0.40)}
Base9 {'prop':{'Base9'}, 'position': (1.07, 0.65, 0.40)}
Base10 {'prop':{'Base10'}, 'position': (1.07, 0.22, 0.40)}
r6 {'prop':{'r6'}, 'position': (1.07, -0.21, 0.40)}
r8 {'prop':{'r8'}, 'position': (1.07, -1.07, 0.40)}
r9 {'prop':{'r9'}, 'position': (1.07, -1.50, 0.40)}
r10 {'prop':{'r10'}, 'position': (1.07, -1.93, 0.40)}
r11 {'prop':{'r11'}, 'position': (1.07, -2.36, 0.40)}
r12 {'prop':{'r12'}, 'position': (0.65, 2.37, 0.40)}
r13 {'prop':{'r13'}, 'position': (0.65, 1.94, 0.40)}
r14 {'prop':{'r14'}, 'position': (0.65, 1.51, 0.40)}
r15 {'prop':{'r15'}, 'position': (0.65, 1.08, 0.40)}
r16 {'prop':{'r16'}, 'position': (0.65, 0.65, 0.40)}
r17 {'prop':{'r17'}, 'position': (0.65, 0.22, 0.40)}
r18 {'prop':{'r18'}, 'position': (0.65, -0.21, 0.40)}
r20 {'prop':{'r20'}, 'position': (0.65, -1.07, 0.40)}
r21 {'prop':{'r21'}, 'position': (0.65, -1.50, 0.40)}
r22 {'prop':{'r22'}, 'position': (0.65, -1.93, 0.40)}
r23 {'prop':{'r23'}, 'position': (0.65, -2.36, 0.40)}
r24 {'prop':{'r24'}, 'position': (0.21, 2.37, 0.40)}
r27 {'prop':{'r27'}, 'position': (0.21, 1.08, 0.40)}
r28 {'prop':{'r28'}, 'position': (0.21, 0.65, 0.40)}
r30 {'prop':{'r30'}, 'position': (0.21, -0.21, 0.40)}
r31 {'prop':{'r31'}, 'position': (0.21, -0.64, 0.40)}
r32 {'prop':{'r32'}, 'position': (0.21, -1.07, 0.40)}
Base5 {'prop':{'Base5'}, 'position': (-0.22, 2.37, 0.40)}
r37 {'prop':{'r37'}, 'position': (-0.22, 1.94, 0.40)}
r39 {'prop':{'r39'}, 'position': (-0.22, 1.08, 0.40)}
r40 {'prop':{'r40'}, 'position': (-0.22, 0.65, 0.40)}
r41 {'prop':{'r41'}, 'position': (-0.22, 0.22, 0.40)}
r42 {'prop':{'r42'}, 'position': (-0.22, -0.21, 0.40)}
r43 {'prop':{'r43'}, 'position': (-0.22, -0.64, 0.40)}
r44 {'prop':{'r44'}, 'position': (-0.22, -1.07, 0.40)}
r45 {'prop':{'r45'}, 'position': (-0.22, -1.50, 0.40)}
r46 {'prop':{'r46'}, 'position': (-0.22, -1.93, 0.40)}
Base6 {'prop':{'Base6'}, 'position': (-0.65, 2.37, 0.40)}
r49 {'prop':{'r49'}, 'position': (-0.65, 1.94, 0.40)}
r50 {'prop':{'r50'}, 'position': (-0.65, 1.51, 0.40)}
r51 {'prop':{'r51'}, 'position': (-0.65, 1.08, 0.40)}
r54 {'prop':{'r54'}, 'position': (-0.65, -0.21, 0.40)}
r55 {'prop':{'r55'}, 'position': (-0.65, -0.64, 0.40)}
Base3 {'prop':{'Base3'}, 'position': (-0.65, -1.07, 0.40)}
Base4 {'prop':{'Base4'}, 'position': (-0.65, -1.50, 0.40)}
r58 {'prop':{'r58'}, 'position': (-0.65, -1.93, 0.40)}
r59 {'prop':{'r59'}, 'position': (-0.65, -2.36, 0.40)}
Base7 {'prop':{'Base7'}, 'position': (-1.07, 2.37, 0.40)}
r61 {'prop':{'r61'}, 'position': (-1.07, 1.94, 0.40)}
r62 {'prop':{'r62'}, 'position': (-1.07, 1.51, 0.40)}
r63 {'prop':{'r63'}, 'position': (-1.07, 1.08, 0.40)}
r66 {'prop':{'r66'}, 'position': (-1.07, -0.21, 0.40)}
r67 {'prop':{'r67'}, 'position': (-1.07, -0.64, 0.40)}
Base1 {'prop':{'Base1'}, 'position': (-1.07, -1.07, 0.40)}
Base2 {'prop':{'Base2'}, 'position': (-1.07, -1.50, 0.40)}
r70 {'prop':{'r70'}, 'position': (-1.07, -1.93, 0.40)}
r71 {'prop':{'r71'}, 'position': (-1.07, -2.36, 0.40)}
r72 {'prop':{'r72'}, 'position': (1.07, 2.37, 0.70)}
r73 {'prop':{'r73'}, 'position': (1.07, 1.94, 0.70)}
r74 {'prop':{'r74'}, 'position': (1.07, 1.51, 0.70)}
r75 {'prop':{'r75'}, 'position': (1.07, 1.08, 0.70)}
r76 {'prop':{'r76'}, 'position': (1.07, 0.65, 0.70)}
r77 {'prop':{'r77'}, 'position': (1.07, 0.22, 0.70)}
r78 {'prop':{'r78'}, 'position': (1.07, -0.21, 0.70)}
r80 {'prop':{'r80'}, 'position': (1.07, -1.07, 0.70)}
r81 {'prop':{'r81'}, 'position': (1.07, -1.50, 0.70)}
r82 {'prop':{'r82'}, 'position': (1.07, -1.93, 0.70)}
r83 {'prop':{'r83'}, 'position': (1.07, -2.36, 0.70)}
r84 {'prop':{'r84'}, 'position': (0.65, 2.37, 0.70)}
r85 {'prop':{'r85'}, 'position': (0.65, 1.94, 0.70)}
r86 {'prop':{'r86'}, 'position': (0.65, 1.51, 0.70)}
r87 {'prop':{'r87'}, 'position': (0.65, 1.08, 0.70)}
r88 {'prop':{'r88'}, 'position': (0.65, 0.65, 0.70)}
r89 {'prop':{'r89'}, 'position': (0.65, 0.22, 0.70)}
r90 {'prop':{'r90'}, 'position': (0.65, -0.21, 0.70)}
r92 {'prop':{'r92'}, 'position': (0.65, -1.07, 0.70)}
r93 {'prop':{'r93'}, 'position': (0.65, -1.50, 0.70)}
r94 {'prop':{'r94'}, 'position': (0.65, -1.93, 0.70)}
r95 {'prop':{'r95'}, 'position': (0.65, -2.36, 0.70)}
r96 {'prop':{'r96'}, 'position': (0.21, 2.37, 0.70)}
r99 {'prop':{'r99'}, 'position': (0.21, 1.08, 0.70)}
r100 {'prop':{'r100'}, 'position': (0.21, 0.65, 0.70)}
r102 {'prop':{'r102'}, 'position': (0.21, -0.21, 0.70)}
r103 {'prop':{'r103'}, 'position': (0.21, -0.64, 0.70)}
r104 {'prop':{'r104'}, 'position': (0.21, -1.07, 0.70)}
r105 {'prop':{'r105'}, 'position': (0.21, -1.50, 0.70)}
r106 {'prop':{'r106'}, 'position': (0.21, -1.93, 0.70)}
r108 {'prop':{'r108'}, 'position': (-0.22, 2.37, 0.70)}
r109 {'prop':{'r109'}, 'position': (-0.22, 1.94, 0.70)}
r111 {'prop':{'r111'}, 'position': (-0.22, 1.08, 0.70)}
r112 {'prop':{'r112'}, 'position': (-0.22, 0.65, 0.70)}
r113 {'prop':{'r113'}, 'position': (-0.22, 0.22, 0.70)}
r114 {'prop':{'r114'}, 'position': (-0.22, -0.21, 0.70)}
r115 {'prop':{'r115'}, 'position': (-0.22, -0.64, 0.70)}
r116 {'prop':{'r116'}, 'position': (-0.22, -1.07, 0.70)}
r117 {'prop':{'r117'}, 'position': (-0.22, -1.50, 0.70)}
r118 {'prop':{'r118'}, 'position': (-0.22, -1.93, 0.70)}
r120 {'prop':{'r120'}, 'position': (-0.65, 2.37, 0.70)}
r121 {'prop':{'r121'}, 'position': (-0.65, 1.94, 0.70)}
r122 {'prop':{'r122'}, 'position': (-0.65, 1.51, 0.70)}
r123 {'prop':{'r123'}, 'position': (-0.65, 1.08, 0.70)}
r126 {'prop':{'r126'}, 'position': (-0.65, -0.21, 0.70)}
r127 {'prop':{'r127'}, 'position': (-0.65, -0.64, 0.70)}
r128 {'prop':{'r128'}, 'position': (-0.65, -1.07, 0.70)}
r129 {'prop':{'r129'}, 'position': (-0.65, -1.50, 0.70)}
r130 {'prop':{'r130'}, 'position': (-0.65, -1.93, 0.70)}
r131 {'prop':{'r131'}, 'position': (-0.65, -2.36, 0.70)}
r132 {'prop':{'r132'}, 'position': (-1.07, 2.37, 0.70)}
r133 {'prop':{'r133'}, 'position': (-1.07, 1.94, 0.70)}
r134 {'prop':{'r134'}, 'position': (-1.07, 1.51, 0.70)}
r135 {'prop':{'r135'}, 'position': (-1.07, 1.08, 0.70)}
r138 {'prop':{'r138'}, 'position': (-1.07, -0.21, 0.70)}
r139 {'prop':{'r139'}, 'position': (-1.07, -0.64, 0.70)}
r140 {'prop':{'r140'}, 'position': (-1.07, -1.07, 0.70)}
r141 {'prop':{'r141'}, 'position': (-1.07, -1.50, 0.70)}
r142 {'prop':{'r142'}, 'position': (-1.07, -1.93, 0.70)}
r143 {'prop':{'r143'}, 'position': (-1.07, -2.36, 0.70)}
r144 {'prop':{'r144'}, 'position': (1.07, 2.37, 1.00)}
